Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0489.1,JUN(var.2),0.15,13,1,5493,1.8,Down,26082,0.075902625053391,13,5,3123,2169,Down,0.029148584287788,-0.910628413637471,-0.7696549397774,-1.53538253356131
MA0880.1,Dlx3,0.06,35,2.7,13510,4.3,Down,25591.5,0.104288432750125,13,10,3123,2767,Down,0.179439468427662,-0.268575146140654,-0.187989866488109,-0.746082025979229
MA0071.1,RORA,0.12,13,1,4827,1.5,Down,24575.5,0.189337138471092,13,8,3123,2391,Down,0.199953674094073,-0.526336199746169,-0.282176922333921,-0.699070611414819
MA0030.1,FOXF2,0.15,9,0.7,4025,1.3,Down,25226.5,0.130439581962361,13,6,3123,2051,Down,0.151621805510517,-0.830466079847678,-0.447963408349398,-0.819238336092524
MA0513.1,SMAD2::SMAD3::SMAD4,0.1,0,0,739,0.2,Down,24589.5,0.187892284657929,13,0,3123,660,Down,0.083595481071486,-3.498210282741077,-2.513354438844783,-1.077817198622724
MA0640.2,ELF3,0.11,20,1.5,3012,1,Up,26887,0.043169054531258,13,11,3123,1874,Up,0.089654564622347,-0.483991625191939,0.505332158170968,1.047427594112603
MA0069.1,PAX6,0.1,0,0,15,0,Down,20397,0.976124331307938,13,0,3123,15,Down,0.999999999991606,-6.204819503171054,2.899864002015169,0.000000000003645
MA0104.4,MYCN,0.01,2,0.2,234,0.1,Up,21130.5,0.798661169997616,13,1,3123,112,Up,0.379984800370251,-3.982545812395395,1.625241621906164,0.420233775086742
MA0833.2,ATF4,0.07,0,0,341,0.1,Down,22399,0.519281413443927,13,0,3123,323,Down,0.385294805913364,-4.013106707368237,-1.483561589590462,-0.414206845589567
MA0602.1,Arid5a,0.13,16,1.2,7831,2.5,Down,25968,0.081862818296351,13,6,3123,2094,Down,0.138900403494579,-0.815502714860683,-0.477890138323386,-0.857296492669768
